,0,park_code_act
0,Arts and Culture,acad
1,Arts and Culture,arch
2,Arts and Culture,care
3,Arts and Culture,cuva
4,Arts and Culture,glac
5,Arts and Culture,grca
6,Arts and Culture,grsm
7,Arts and Culture,grte
8,Arts and Culture,havo
9,Arts and Culture,indu
10,Arts and Culture,isro
11,Arts and Culture,pefo
12,Arts and Culture,sagu
13,Arts and Culture,viis
14,Arts and Culture,voya
15,Arts and Culture,yell
16,Arts and Culture,yose
17,Arts and Culture,zion
18,Astronomy,acad
19,Astronomy,arch
20,Astronomy,badl
21,Astronomy,bibe
22,Astronomy,brca
23,Astronomy,cany
24,Astronomy,care
25,Astronomy,cave
26,Astronomy,chis
27,Astronomy,crla
28,Astronomy,deva
29,Astronomy,drto
30,Astronomy,ever
31,Astronomy,glac
32,Astronomy,grba
33,Astronomy,grca
34,Astronomy,grsm
35,Astronomy,indu
36,Astronomy,isro
37,Astronomy,jeff
38,Astronomy,jotr
39,Astronomy,kefj
40,Astronomy,lavo
41,Astronomy,maca
42,Astronomy,meve
43,Astronomy,mora
44,Astronomy,olym
45,Astronomy,pefo
46,Astronomy,pinn
47,Astronomy,sagu
48,Astronomy,shen
49,Astronomy,thro
50,Astronomy,viis
51,Astronomy,voya
52,Astronomy,yell
53,Astronomy,yose
54,Astronomy,zion
55,Auto and ATV,badl
56,Auto and ATV,bibe
57,Auto and ATV,crla
58,Auto and ATV,ever
59,Auto and ATV,glac
60,Auto and ATV,grba
61,Auto and ATV,grca
62,Auto and ATV,grsm
63,Auto and ATV,grte
64,Auto and ATV,gumo
65,Auto and ATV,hosp
66,Auto and ATV,indu
67,Auto and ATV,jotr
68,Auto and ATV,lavo
69,Auto and ATV,meve
70,Auto and ATV,mora
71,Auto and ATV,noca
72,Auto and ATV,pefo
73,Auto and ATV,romo
74,Auto and ATV,sagu
75,Auto and ATV,shen
76,Auto and ATV,thro
77,Auto and ATV,whsa
78,Auto and ATV,wica
79,Auto and ATV,yell
80,Auto and ATV,yose
81,Biking,acad
82,Biking,arch
83,Biking,badl
84,Biking,bibe
85,Biking,brca
86,Biking,cany
87,Biking,care
88,Biking,crla
89,Biking,cuva
90,Biking,deva
91,Biking,ever
92,Biking,glac
93,Biking,grba
94,Biking,grca
95,Biking,grsm
96,Biking,grte
97,Biking,havo
98,Biking,hosp
99,Biking,indu
100,Biking,jeff
101,Biking,jotr
102,Biking,lavo
103,Biking,maca
104,Biking,meve
105,Biking,mora
106,Biking,noca
107,Biking,olym
108,Biking,pefo
109,Biking,pinn
110,Biking,sagu
111,Biking,shen
112,Biking,thro
113,Biking,voya
114,Biking,whsa
115,Biking,wica
116,Biking,yell
117,Biking,yose
118,Biking,zion
119,Boating,acad
120,Boating,bisc
121,Boating,cany
122,Boating,chis
123,Boating,crla
124,Boating,drto
125,Boating,ever
126,Boating,glac
127,Boating,grca
128,Boating,grte
129,Boating,indu
130,Boating,isro
131,Boating,kefj
132,Boating,kova
133,Boating,lavo
134,Boating,maca
135,Boating,noca
136,Boating,olym
137,Boating,viis
138,Boating,voya
139,Boating,yell
140,Boating,yose
141,Camping,acad
142,Camping,arch
143,Camping,badl
144,Camping,bibe
145,Camping,bisc
146,Camping,blca
147,Camping,brca
148,Camping,cany
149,Camping,care
150,Camping,cave
151,Camping,chis
152,Camping,cong
153,Camping,crla
154,Camping,deva
155,Camping,drto
156,Camping,ever
157,Camping,glac
158,Camping,grba
159,Camping,grca
160,Camping,grsm
161,Camping,grte
162,Camping,gumo
163,Camping,hale
164,Camping,havo
165,Camping,hosp
166,Camping,indu
167,Camping,isro
168,Camping,jotr
169,Camping,kefj
170,Camping,kova
171,Camping,lavo
172,Camping,maca
173,Camping,meve
174,Camping,mora
175,Camping,noca
176,Camping,olym
177,Camping,pefo
178,Camping,pinn
179,Camping,romo
180,Camping,sagu
181,Camping,shen
182,Camping,thro
183,Camping,viis
184,Camping,voya
185,Camping,whsa
186,Camping,wica
187,Camping,yell
188,Camping,yose
189,Camping,zion
190,Canyoneering,arch
191,Canyoneering,care
192,Canyoneering,deva
193,Canyoneering,zion
194,Caving,cave
195,Caving,grba
196,Caving,maca
197,Caving,pinn
198,Caving,wica
199,Climbing,acad
200,Climbing,arch
201,Climbing,blca
202,Climbing,cany
203,Climbing,care
204,Climbing,glac
205,Climbing,grba
206,Climbing,grte
207,Climbing,jotr
208,Climbing,kefj
209,Climbing,mora
210,Climbing,noca
211,Climbing,olym
212,Climbing,pinn
213,Climbing,romo
214,Climbing,shen
215,Climbing,yose
216,Climbing,zion
217,Compass and GPS,acad
218,Compass and GPS,badl
219,Compass and GPS,chis
220,Compass and GPS,crla
221,Compass and GPS,ever
222,Compass and GPS,lavo
223,Compass and GPS,pefo
224,Compass and GPS,shen
225,Dog Sledding,kefj
226,Fishing,acad
227,Fishing,bisc
228,Fishing,blca
229,Fishing,care
230,Fishing,chis
231,Fishing,cong
232,Fishing,crla
233,Fishing,cuva
234,Fishing,drto
235,Fishing,ever
236,Fishing,glac
237,Fishing,grba
238,Fishing,grca
239,Fishing,grsm
240,Fishing,grte
241,Fishing,hosp
242,Fishing,indu
243,Fishing,isro
244,Fishing,kefj
245,Fishing,kova
246,Fishing,lavo
247,Fishing,maca
248,Fishing,mora
249,Fishing,noca
250,Fishing,olym
251,Fishing,romo
252,Fishing,shen
253,Fishing,viis
254,Fishing,voya
255,Fishing,yell
256,Fishing,yose
257,Flying,deva
258,Flying,grca
259,Flying,isro
260,Flying,kefj
261,Flying,kova
262,Food,acad
263,Food,badl
264,Food,bibe
265,Food,brca
266,Food,care
267,Food,cave
268,Food,chis
269,Food,cong
270,Food,crla
271,Food,cuva
272,Food,deva
273,Food,ever
274,Food,glac
275,Food,grba
276,Food,grca
277,Food,grsm
278,Food,grte
279,Food,hosp
280,Food,indu
281,Food,isro
282,Food,jeff
283,Food,jotr
284,Food,kefj
285,Food,lavo
286,Food,maca
287,Food,meve
288,Food,mora
289,Food,olym
290,Food,pefo
291,Food,pinn
292,Food,shen
293,Food,thro
294,Food,viis
295,Food,voya
296,Food,whsa
297,Food,wica
298,Food,yell
299,Food,yose
300,Golfing,deva
301,Guided Tours,acad
302,Guided Tours,arch
303,Guided Tours,bibe
304,Guided Tours,bisc
305,Guided Tours,brca
306,Guided Tours,cany
307,Guided Tours,care
308,Guided Tours,cave
309,Guided Tours,chis
310,Guided Tours,cong
311,Guided Tours,crla
312,Guided Tours,deva
313,Guided Tours,drto
314,Guided Tours,ever
