,rank_reneeroaming,parks_ranked
0,1,Grand Teton National Park
1,2,Kenai Fjords National Park
2,3,Wrangell St
3,4,Denali National Park
4,5,Mount Rainier National Park
5,6,Yosemite National Park
6,7,Glacier Bay National Park
7,8,Glacier National Park
8,9,Katmai National Park
9,10,Lake Clark National Park
10,11,Olympic National Park
11,12,Bryce Canyon National Park
12,13,Great Smoky Mountains National Park
13,14,Kings Canyon National Park
14,15,Rocky Mountain National Park
15,16,Yellowstone National Park
16,17,Death Valley National Park
17,18,Grand Canyon National Park
18,19,Zion National Park
19,20,Big Bend National Park
20,21,North Cascades National Park
21,22,Redwood National Park (and State Parks)
22,23,Arches National Park
23,24,Crater Lake National Park
24,25,Acadia National Park
25,26,Great Basin National Park
26,27,Shenandoah National Park
27,28,Virgin Islands National Park
28,29,Hawai’i Volcanoes National Park
29,30,Lassen Volcanic National Park
30,31,Joshua Tree National Park
31,32,Haleakalā National Park
32,33,Canyonlands National Park
33,34,Sequoia National Park
34,35,Great Sand Dunes National Park
35,36,Badlands National Park
36,37,Isle Royale National Park
37,38,National Park of American Samoa
38,39,Saguaro National Park
39,40,Carlsbad Caverns National Park
40,41,Mesa Verde National Park
41,42,Capitol Reef National Park
42,43,Gates of the Arctic National Park
43,44,Mammoth Cave National Park
44,45,Hot Springs National Park
45,46,Petrified Forest National Park
46,47,Everglades National Park
47,48,Theodore Roosevelt National Park
48,49,Black Canyon of the Gunnison National Park
49,50,Guadalupe Mountains National Park
50,51,Dry Tortugas National Park
51,52,Voyageurs National Park
52,53,Wind Cave National Park
53,54,Cuyahoga Valley National Park
54,55,Kobuk Valley National Park
55,56,Channel Islands National Park
56,57,Pinnacles National Park
57,58,Biscayne National Park
58,59,Congaree National Park
