,0,entrance_fee_type,cost
0,acad,Timed Entry Reservation - Location,6.00
1,acad,Entrance - Private Vehicle,35.00
2,acad,Entrance - Motorcycle,30.00
3,acad,Entrance - Per Person,20.00
4,acad,Entrance - Education/Academic Groups,0.00
5,acad,Entrance - Non-commercial Groups,0.00
6,acad,Commercial Entrance - Per Person,0.00
7,adam,Timed Entry Reservation - Location,1.00
8,adam,Entrance - Per Person,15.00
9,anti,Entrance - Private Vehicle,20.00
10,anti,Entrance - Per Person,10.00
11,anti,Entrance - Motorcycle,15.00
12,anti,Commercial Entrance - Motor Coach,100.00
13,anti,Commercial Entrance - Mini-bus,40.00
14,anti,Commercial Entrance - Sedan,25.00
15,anti,Entrance - Education/Academic Groups,0.00
16,arch,Timed Entry Reservation - Park,2.00
17,arch,Entrance - Private Vehicle,30.00
18,arch,Entrance - Motorcycle,25.00
19,arch,Entrance - Per Person,15.00
20,asis,Entrance - Private Vehicle,25.00
21,asis,Entrance - Motorcycle,20.00
22,asis,Entrance - Per Person,0.00
23,badl,Entrance - Private Vehicle,30.00
24,badl,Entrance - Motorcycle,25.00
25,badl,Entrance - Per Person,15.00
26,badl,Commercial Entrance - Sedan,25.00
27,badl,Commercial Entrance - Van,50.00
28,badl,Commercial Entrance - Mini-bus,60.00
29,badl,Commercial Entrance - Motor Coach,150.00
30,band,Entrance - Private Vehicle,25.00
31,band,Entrance - Motorcycle,20.00
32,band,Entrance - Per Person,15.00
33,beol,Entrance - Per Person,10.00
34,beol,Entrance - Education/Academic Groups,0.00
35,bibe,Entrance - Private Vehicle,30.00
36,bibe,Entrance - Motorcycle,25.00
37,bibe,Entrance - Per Person,15.00
38,bibe,Commercial Entrance - Motor Coach,200.00
39,bibe,Entrance - Non-commercial Groups,30.00
40,bibe,Commercial Entrance - Mini-bus,100.00
41,bibe,Commercial Entrance - Sedan,25.00
42,blca,Entrance - Private Vehicle,30.00
43,blca,Entrance - Motorcycle,25.00
44,blca,Entrance - Per Person,15.00
45,blca,Commercial Entrance - Sedan,25.00
46,blca,Commercial Entrance - Van,40.00
47,blca,Commercial Entrance - Mini-bus,40.00
48,blca,Commercial Entrance - Motor Coach,100.00
49,blca,Entrance - Non-commercial Groups,30.00
50,blca,Entrance - Non-commercial Groups,15.00
51,brca,Entrance - Private Vehicle,35.00
52,brca,Entrance - Motorcycle,30.00
53,brca,Entrance - Per Person,20.00
54,brca,Commercial Entrance - Sedan,50.00
55,brca,Commercial Entrance - Van,50.00
56,brca,Commercial Entrance - Mini-bus,60.00
57,brca,Commercial Entrance - Motor Coach,150.00
58,cabr,Entrance - Private Vehicle,20.00
59,cabr,Entrance - Motorcycle,15.00
60,cabr,Entrance - Per Person,10.00
61,cabr,Commercial Entrance - Sedan,30.00
62,cabr,Commercial Entrance - Van,45.00
63,cabr,Commercial Entrance - Mini-bus,45.00
64,cabr,Commercial Entrance - Motor Coach,100.00
65,cabr,Entrance - Non-commercial Groups,20.00
66,caco,Entrance - Private Vehicle,25.00
67,caco,Entrance - Motorcycle,20.00
68,caco,Entrance - Per Person,15.00
69,cana,Entrance - Private Vehicle,25.00
70,cany,Entrance - Private Vehicle,30.00
71,cany,Entrance - Motorcycle,25.00
72,cany,Entrance - Per Person,15.00
73,care,Entrance - Private Vehicle,20.00
74,care,Entrance - Motorcycle,15.00
75,care,Entrance - Per Person,10.00
76,care,Commercial Entrance - Sedan,30.00
77,care,Commercial Entrance - Van,40.00
78,care,Commercial Entrance - Mini-bus,40.00
79,care,Commercial Entrance - Motor Coach,100.00
80,casa,Entrance - Per Person,15.00
81,cave,Timed Entry Reservation - Location,1.00
82,cave,Entrance - Per Person,15.00
83,cavo,Entrance - Private Vehicle,20.00
84,cavo,Entrance - Motorcycle,15.00
85,cavo,Entrance - Per Person,10.00
86,cavo,Entrance - Non-commercial Groups,10.00
87,cavo,Entrance - Education/Academic Groups,0.00
88,cavo,Commercial Entrance - Sedan,25.00
89,cavo,Commercial Entrance - Van,40.00
90,cavo,Commercial Entrance - Mini-bus,40.00
91,cavo,Commercial Entrance - Motor Coach,100.00
92,cebr,Entrance - Per Person,10.00
93,cebr,Commercial Entrance - Per Person,10.00
94,chat,Entrance - Per Person,5.00
95,chat,Entrance - Private Vehicle,5.00
96,chat,Entrance - Motorcycle,5.00
97,chch,Entrance - Per Person,10.00
98,chcu,Entrance - Private Vehicle,25.00
99,chcu,Entrance - Per Person,15.00
100,chcu,Entrance - Motorcycle,20.00
101,chcu,Commercial Entrance - Van,40.00
102,chcu,Commercial Entrance - Motor Coach,100.00
103,chcu,Entrance - Non-commercial Groups,25.00
104,chcu,Entrance - Education/Academic Groups,0.00
105,chcu,Commercial Entrance - Sedan,40.00
106,chcu,Commercial Entrance - Mini-bus,40.00
107,choh,Entrance - Private Vehicle,20.00
108,choh,Entrance - Motorcycle,15.00
109,choh,Entrance - Per Person,10.00
110,choh,Entrance - Education/Academic Groups,0.00
111,choh,Entrance - Non-commercial Groups,20.00
112,choh,Commercial Entrance - Motor Coach,100.00
113,choh,Commercial Entrance - Van,40.00
114,choh,Commercial Entrance - Mini-bus,40.00
115,choh,Commercial Entrance - Sedan,25.00
116,chri,Entrance - Per Person,10.00
117,colm,Entrance - Private Vehicle,25.00
118,colm,Entrance - Motorcycle,20.00
119,colm,Entrance - Per Person,15.00
120,colm,Entrance - Non-commercial Groups,15.00
121,colm,Entrance - Education/Academic Groups,0.00
122,colm,Commercial Entrance - Sedan,25.00
123,colm,Commercial Entrance - Van,40.00
124,colm,Commercial Entrance - Mini-bus,40.00
125,colm,Commercial Entrance - Motor Coach,100.00
126,colo,Entrance - Per Person,15.00
127,crla,Entrance - Private Vehicle,30.00
128,crla,Entrance - Private Vehicle,20.00
129,crla,Entrance - Motorcycle,25.00
130,crla,Entrance - Motorcycle,15.00
131,crla,Entrance - Per Person,15.00
132,crla,Entrance - Snowmobile,15.00
133,crla,Commercial Entrance - Sedan,25.00
134,crla,Commercial Entrance - Van,75.00
135,crla,Commercial Entrance - Mini-bus,100.00
136,crla,Commercial Entrance - Motor Coach,200.00
137,crmo,Entrance - Private Vehicle,20.00
138,crmo,Entrance - Motorcycle,15.00
139,crmo,Commercial Entrance - Sedan,25.00
140,crmo,Entrance - Per Person,10.00
141,crmo,Entrance - Education/Academic Groups,0.00
142,crmo,Commercial Entrance - Motor Coach,100.00
143,crmo,Commercial Entrance - Van,40.00
144,cuis,Entrance - Per Person,15.00
145,dena,Entrance - Per Person,15.00
146,deto,Entrance - Private Vehicle,25.00
147,deto,Entrance - Motorcycle,20.00
148,deto,Entrance - Per Person,15.00
