OBFCM data source,ID,OBFCM ReportingPeriod,Registration Year,Total fuel consumed (lifetime) (l),Total distance travelled (lifetime) (km),Total distance travelled in charge depleting operation with engine off (lifetime) (km),Total distance travelled in charge depleting operation with engine running (lifetime) (km),Total distance travelled in driver-selectable charge increasing operation (lifetime)  (km),Total fuel consumed in charge depleting operation (lifetime) (l),Total fuel consumed in driver-selectable charge increasing operation (lifetime) (l),Total grid energy into the battery (lifetime) (kWh),Used in calculation
OEM,5765924,2021,2021,302.89,5116,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766790,2021,2021,233.31,3525.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8407539,2021,2021,683.79,10267.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8407565,2021,2021,1300.49,17753.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8407505,2021,2021,1157.96,15453.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766836,2021,2021,886.06,13572.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766916,2021,2021,116.95,1539.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766909,2021,2021,237.98,3183.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766917,2021,2021,343.87,4660,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5767012,2021,2021,328.07,4723.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766935,2021,2021,341.41,4353.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766899,2021,2021,394.01,5105.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766913,2021,2021,432.04,5138.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766893,2021,2021,265.01,4019.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766813,2021,2021,262.41,3799.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766918,2021,2021,251.97,3198.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766990,2021,2021,186.07,2750.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766984,2021,2021,266,3767,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8407535,2021,2021,348.17,4213.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766888,2021,2021,159.36,1887.7,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5767005,2021,2021,281.47,4840.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766832,2021,2021,324,4946.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766653,2021,2021,330.79,6295.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766534,2021,2021,617.19,9560.9,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766709,2021,2021,306.57,5610.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766623,2021,2021,844.62,14641.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766598,2021,2021,536.81,8821.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766547,2021,2021,1122.45,18124.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766715,2021,2021,1579.4,26156.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766572,2021,2021,460.38,7355.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766469,2021,2021,542.47,8204.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766759,2021,2021,310.45,5165.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766713,2021,2021,511.34,7203,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766745,2021,2021,1173.27,21060.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766503,2021,2021,1020.17,15268.3,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766524,2021,2021,612.26,10452,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766511,2021,2021,1793,31040.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766501,2021,2021,620.65,12999.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766602,2021,2021,1197.03,20764.1,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766754,2021,2021,575.02,9827,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766575,2021,2021,990.1,18973.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766512,2021,2021,53.55,748.4,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766643,2021,2021,1370.76,22037.6,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766642,2021,2021,411.91,8811.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766763,2021,2021,1330.94,28619.5,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8393031,2021,2021,1487.97,25367.9,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8393043,2021,2021,718.62,11694.9,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,8393045,2021,2021,2693.01,40484.2,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5766716,2021,2021,1245.77,16930.8,NULL,NULL,NULL,NULL,NULL,NULL,1
OEM,5694275,2021,2021,1657,24929,0,0,0,0,0,0,1
OEM,5694298,2021,2021,1312,20098,0,0,0,0,0,0,1
OEM,5694322,2021,2021,3141,43690,0,0,0,0,0,0,1
OEM,8918794,2021,2021,246.8,3935.1,0,0,0,0,0,0,1
OEM,8397458,2021,2021,1.5,10.7,0,0,0,0,0,0,0
OEM,5727959,2021,2021,1401,22676,0,0,0,0,0,0,1
OEM,5713775,2021,2021,63,744,0,0,0,0,0,0,1
OEM,5713790,2021,2021,1421,20841,0,0,0,0,0,0,1
OEM,5713823,2021,2021,1442,21726,0,0,0,0,0,0,1
OEM,5717920,2021,2021,292,5145,0,0,0,0,0,0,1
OEM,8850581,2021,2021,1.2,4.9,0,0,0,0,0,0,0
