,rank_alexyn,parks_ranked
0,1,Glacier National Park
1,2,Yellowstone National Park
2,3,Yosemite National Park
3,4,Olympic National Park
4,5,Denali National Park
5,6,Katmai National Park
6,7,Wrangell-St. Elias National Park
7,8,Zion National Park
8,9,Grand Canyon National Park
9,10,Acadia National Park
10,11,Grand Tetons National Park
11,12,Isle Royale National Park
12,13,Kings Canyon National Park
13,14,Rocky Mountain National Park
14,15,Sequoia National Park
15,16,Death Valley National Park
16,17,North Cascades National Park
17,18,Hawai’i Volcanoes National Park
18,19,Big Bend National Park
19,20,Great Smoky Mountains National Park
20,21,Mount Rainier National Park
21,22,Joshua Tree National Park
22,23,Everglades National Park
23,24,Canyonlands National Park
24,25,Arches National Park
25,26,Lassen Volcanic National Park
26,27,Lake Clark National Park
27,28,Badlands National Park
28,29,Channel Islands National Park
29,30,Shenandoah National Park
30,31,Haleakala National Park
31,32,Kenai Fjords National Park
32,33,Glacier Bay National Park
33,34,Crater Lake National Park
34,35,Capitol Reef National Park
35,36,Bryce Canyon National Park
36,37,Gates of the Arctic National Park
37,38,Virgin Islands National Park
38,39,Voyageurs National Park
39,40,Redwood National Park
40,41,White Sands National Park
41,42,Great Basin National Park
42,43,Black Canyon of the Gunnison National Park
43,44,Saguaro National Park
44,45,Petrified Forest National Park
45,46,Dry Tortugas National Park
46,47,Great Sand Dunes National Park
47,48,Theodore Roosevelt National Park
48,49,Mammoth Cave National Park
49,50,Carlsbad Caverns National Park
50,51,Kobuk Valley National Park
51,52,Mesa Verde National Park
52,53,American Samoa National Park
53,54,Pinnacles National Park
54,55,Guadalupe Mountains National Park
55,56,New River Gorge National Park
56,57,Wind Cave National Park
57,58,Cuyahoga Valley National Park
58,59,Congaree National Park
59,60,Biscayne National Park
60,61,Indiana Sand Dunes National Park
61,62,Hot Spring National Park
62,63,Gateway Arch National Park
